show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
s102,TV Show,,Rajkumar Hirani,Actor C,UK,1990.0,TV-MA,2 Seasons,Horror,
s103,TV Show,Netflix_Title_103,Unknown,Actor C,,1995.0,R,3 Seasons,,Description of Netflix show 103
s104,Movie,Netflix_Title_104,,Actor C,India,2020.0,,,Thriller,Description of Netflix show 104
s105,TV Show,Netflix_Title_105,Rajkumar Hirani,Actor C,India,2010.0,G,120 min,Comedy,Description of Netflix show 105
s106,TV Show,Netflix_Title_106,Rajkumar Hirani,Actor C,United States,inf,G,,Romance,Description of Netflix show 106
s107,Movie,Netflix_Title_107,Unknown,Actor A,,2010.0,TV-14,80 min,Comedy,Description of Netflix show 107
s108,TV Show,Netflix_Title_108,Unknown,Actor B,Germany,2005.0,PG,120 min,Romance,Description of Netflix show 108
s109,TV Show,Netflix_Title_109,Rajkumar Hirani,Actor C,Canada,2000.0,PG,80 min,,Description of Netflix show 109
s110,,Netflix_Title_110,Unknown,Actor A,India,2015.0,PG-13,3 Seasons,,Description of Netflix show 110
s111,Movie,Netflix_Title_111,Alex Pina,Actor B,United States,2020.0,PG,3 Seasons,Sci-Fi,Description of Netflix show 111
s112,Movie,Netflix_Title_112,Christopher Nolan,Actor B,Spain,,TV-MA,120 min,Thriller,Description of Netflix show 112
s113,TV Show,Netflix_Title_113,Alex Pina,Actor D,India,1995.0,G,120 min,Action,Description of Netflix show 113
s114,TV Show,Netflix_Title_114,Rajkumar Hirani,Actor B,Spain,1990.0,TV-14,80 min,Horror,Description of Netflix show 114
s115,Movie,Netflix_Title_115,Rajkumar Hirani,Actor B,Germany,2010.0,TV-14,120 min,Horror,Description of Netflix show 115
s116,TV Show,Netflix_Title_116,,Actor B,India,2000.0,TV-14,90 min,Drama,Description of Netflix show 116
s117,TV Show,Netflix_Title_117,Unknown,Actor D,India,2015.0,,80 min,Sci-Fi,
s118,TV Show,Netflix_Title_118,Alex Pina,Actor A,United States,2015.0,TV-14,3 Seasons,Action,Description of Netflix show 118
,TV Show,Netflix_Title_119,Unknown,Actor A,Spain,2010.0,TV-MA,3 Seasons,Sci-Fi,Description of Netflix show 119
s120,Movie,Netflix_Title_120,Alex Pina,Actor D,India,2015.0,G,100 min,Comedy,Description of Netflix show 120
s121,Movie,Netflix_Title_121,Unknown,Actor D,Germany,2000.0,R,90 min,Romance,Description of Netflix show 121
s122,Movie,Netflix_Title_122,,Actor C,Canada,2023.0,PG,120 min,Drama,Description of Netflix show 122
s123,Movie,Netflix_Title_123,,Actor D,Spain,1990.0,TV-MA,80 min,Comedy,Description of Netflix show 123
s124,Movie,Netflix_Title_124,Christopher Nolan,Actor A,United States,2000.0,G,3 Seasons,Drama,Description of Netflix show 124
s125,TV Show,Netflix_Title_125,Rajkumar Hirani,Actor D,,inf,TV-14,120 min,Drama,
s126,TV Show,Netflix_Title_126,Christopher Nolan,,Canada,,TV-14,,Drama,Description of Netflix show 126
s127,TV Show,Netflix_Title_127,,Actor A,India,,PG,80 min,Sci-Fi,Description of Netflix show 127
s128,TV Show,Netflix_Title_128,Rajkumar Hirani,Actor B,India,,R,2 Seasons,Horror,
s129,Movie,Netflix_Title_129,Unknown,Actor C,,2010.0,PG-13,3 Seasons,Drama,Description of Netflix show 129
s130,Movie,Netflix_Title_130,Christopher Nolan,Actor B,India,,TV-MA,3 Seasons,,Description of Netflix show 130
s131,TV Show,Netflix_Title_131,Rajkumar Hirani,Actor D,Germany,2000.0,PG-13,120 min,,Description of Netflix show 131
s132,,Netflix_Title_132,Alex Pina,Actor A,,1990.0,TV-MA,120 min,Drama,Description of Netflix show 132
s133,TV Show,,Christopher Nolan,Actor A,United States,2015.0,TV-14,2 Seasons,Sci-Fi,Description of Netflix show 133
s134,Movie,Netflix_Title_134,Rajkumar Hirani,Actor D,India,2005.0,PG,80 min,Sci-Fi,Description of Netflix show 134
s135,TV Show,Netflix_Title_135,Alex Pina,,India,2010.0,TV-MA,,Romance,
s136,Movie,Netflix_Title_136,Rajkumar Hirani,,,2010.0,TV-MA,90 min,Drama,Description of Netflix show 136
s137,TV Show,Netflix_Title_137,Alex Pina,,Germany,2010.0,R,2 Seasons,Drama,Description of Netflix show 137
s138,Movie,Netflix_Title_138,Alex Pina,Actor A,United States,2015.0,TV-14,90 min,,Description of Netflix show 138
s139,TV Show,Netflix_Title_139,Rajkumar Hirani,Actor A,UK,,PG,90 min,Action,Description of Netflix show 139
s140,TV Show,Netflix_Title_140,Unknown,Actor A,UK,2000.0,PG-13,120 min,Romance,
s141,TV Show,Netflix_Title_141,Unknown,Actor C,UK,2023.0,TV-MA,100 min,Romance,Description of Netflix show 141
s142,Movie,Netflix_Title_142,Unknown,,,2020.0,PG-13,120 min,Horror,Description of Netflix show 142
s143,Movie,Netflix_Title_143,Alex Pina,Actor C,,1990.0,PG-13,80 min,Drama,Description of Netflix show 143
s144,Movie,Netflix_Title_144,Rajkumar Hirani,Actor D,UK,2023.0,TV-MA,100 min,Drama,Description of Netflix show 144
s145,Movie,Netflix_Title_145,Unknown,Actor A,India,2005.0,PG,90 min,Action,Description of Netflix show 145
s146,Movie,Netflix_Title_146,,Actor D,United States,2005.0,TV-MA,2 Seasons,Romance,Description of Netflix show 146
s147,Movie,Netflix_Title_147,Alex Pina,Actor A,India,1990.0,TV-MA,90 min,Drama,Description of Netflix show 147
s148,TV Show,Netflix_Title_148,,Actor A,India,2000.0,TV-MA,,Comedy,Description of Netflix show 148
s149,TV Show,Netflix_Title_149,Alex Pina,Actor B,Germany,2015.0,R,120 min,Comedy,Description of Netflix show 149
s150,Movie,,Unknown,Actor C,UK,2023.0,TV-14,2 Seasons,Comedy,
s151,Movie,Netflix_Title_151,Christopher Nolan,,Spain,2000.0,PG,,Action,Description of Netflix show 151
s152,,Netflix_Title_152,Unknown,Actor A,United States,2005.0,PG-13,100 min,Drama,Description of Netflix show 152
s153,TV Show,Netflix_Title_153,Alex Pina,Actor B,India,1995.0,PG-13,120 min,Action,Description of Netflix show 153
s154,Movie,,Christopher Nolan,Actor A,,2023.0,TV-14,3 Seasons,Comedy,Description of Netflix show 154
s155,Movie,Netflix_Title_155,Rajkumar Hirani,Actor B,UK,2020.0,TV-MA,80 min,Comedy,Description of Netflix show 155
s156,TV Show,Netflix_Title_156,Alex Pina,Actor B,India,2020.0,TV-14,3 Seasons,Action,Description of Netflix show 156
s157,Movie,Netflix_Title_157,Unknown,Actor C,UK,2015.0,PG-13,80 min,Sci-Fi,Description of Netflix show 157
s158,TV Show,Netflix_Title_158,Christopher Nolan,Actor B,India,2023.0,PG-13,100 min,Thriller,Description of Netflix show 158
s159,,Netflix_Title_159,Alex Pina,,United States,2023.0,TV-14,2 Seasons,Comedy,Description of Netflix show 159
s160,TV Show,Netflix_Title_160,Unknown,Actor D,Spain,2015.0,PG,80 min,Sci-Fi,Description of Netflix show 160
s161,Movie,Netflix_Title_161,Unknown,Actor D,India,2005.0,TV-MA,2 Seasons,Thriller,Description of Netflix show 161
s162,TV Show,Netflix_Title_162,,Actor A,Spain,2010.0,TV-14,,,Description of Netflix show 162
,TV Show,Netflix_Title_163,Christopher Nolan,Actor C,,1990.0,PG-13,90 min,Drama,Description of Netflix show 163
s164,TV Show,Netflix_Title_164,Rajkumar Hirani,Actor A,UK,,,90 min,Action,
s165,Movie,Netflix_Title_165,,Actor D,UK,2015.0,TV-14,80 min,Horror,Description of Netflix show 165
s166,Movie,Netflix_Title_166,Unknown,Actor A,United States,,,80 min,Romance,Description of Netflix show 166
s167,Movie,Netflix_Title_167,Alex Pina,Actor A,Spain,2005.0,PG,100 min,Horror,Description of Netflix show 167
s168,TV Show,,Unknown,Actor B,Spain,,G,4 Seasons,Drama,Description of Netflix show 168
s169,TV Show,Netflix_Title_169,,Actor B,Germany,2023.0,PG,120 min,Romance,Description of Netflix show 169
s170,TV Show,Netflix_Title_170,,Actor B,India,2023.0,,100 min,Drama,Description of Netflix show 170
s171,Movie,Netflix_Title_171,,Actor A,Spain,1990.0,R,90 min,Action,Description of Netflix show 171
s172,,Netflix_Title_172,Christopher Nolan,Actor A,,2005.0,TV-MA,,Comedy,Description of Netflix show 172
,TV Show,Netflix_Title_173,Christopher Nolan,Actor B,United States,1995.0,TV-MA,3 Seasons,,Description of Netflix show 173
s174,Movie,Netflix_Title_174,Christopher Nolan,,United States,,TV-MA,100 min,Sci-Fi,Description of Netflix show 174
s175,TV Show,Netflix_Title_175,Christopher Nolan,Actor A,India,2010.0,TV-MA,,Comedy,Description of Netflix show 175
s176,TV Show,Netflix_Title_176,,Actor D,UK,2010.0,PG,2 Seasons,Action,Description of Netflix show 176
s177,TV Show,Netflix_Title_177,Christopher Nolan,Actor B,UK,2010.0,PG-13,90 min,Drama,Description of Netflix show 177
s178,Movie,Netflix_Title_178,Unknown,Actor A,Canada,2015.0,TV-MA,120 min,Romance,Description of Netflix show 178
s179,Movie,Netflix_Title_179,Unknown,Actor A,Spain,2010.0,TV-MA,120 min,Horror,Description of Netflix show 179
s180,Movie,Netflix_Title_180,Alex Pina,Actor A,Canada,,G,100 min,Drama,
s181,TV Show,Netflix_Title_181,Rajkumar Hirani,Actor C,UK,2023.0,PG,2 Seasons,Action,Description of Netflix show 181
s182,Movie,,Rajkumar Hirani,Actor D,UK,2020.0,PG,3 Seasons,,Description of Netflix show 182
s183,TV Show,Netflix_Title_183,Rajkumar Hirani,Actor D,Canada,2005.0,PG,100 min,Sci-Fi,Description of Netflix show 183
s184,Movie,Netflix_Title_184,,Actor B,Germany,2020.0,G,120 min,Comedy,Description of Netflix show 184
s185,Movie,,Unknown,Actor C,Spain,1995.0,TV-14,,Action,Description of Netflix show 185
s186,TV Show,Netflix_Title_186,Christopher Nolan,Actor D,United States,2023.0,TV-MA,90 min,Thriller,Description of Netflix show 186
s187,Movie,Netflix_Title_187,Alex Pina,Actor D,Germany,2020.0,PG-13,2 Seasons,Romance,Description of Netflix show 187
s188,TV Show,Netflix_Title_188,Rajkumar Hirani,Actor B,Germany,2020.0,TV-MA,4 Seasons,,Description of Netflix show 188
s189,TV Show,Netflix_Title_189,Christopher Nolan,Actor A,Germany,2010.0,TV-14,3 Seasons,,Description of Netflix show 189
,TV Show,Netflix_Title_190,,Actor A,India,2010.0,,90 min,Action,Description of Netflix show 190
s191,Movie,Netflix_Title_191,Unknown,Actor D,Germany,2000.0,PG-13,120 min,,Description of Netflix show 191
s192,Movie,Netflix_Title_192,Rajkumar Hirani,Actor B,United States,2023.0,PG,2 Seasons,Romance,Description of Netflix show 192
s193,TV Show,Netflix_Title_193,Unknown,Actor C,Germany,inf,TV-14,2 Seasons,Comedy,Description of Netflix show 193
s194,TV Show,Netflix_Title_194,Rajkumar Hirani,Actor A,United States,2010.0,TV-MA,,Sci-Fi,Description of Netflix show 194
s195,TV Show,Netflix_Title_195,Rajkumar Hirani,Actor D,,,PG-13,100 min,Sci-Fi,Description of Netflix show 195
s196,TV Show,Netflix_Title_196,,Actor C,India,2005.0,TV-14,120 min,,Description of Netflix show 196
s197,Movie,Netflix_Title_197,,Actor C,India,2010.0,TV-MA,100 min,Thriller,Description of Netflix show 197
s198,Movie,Netflix_Title_198,Alex Pina,Actor B,,2005.0,PG,2 Seasons,Sci-Fi,Description of Netflix show 198
s199,TV Show,Netflix_Title_199,,Actor C,,inf,TV-MA,120 min,,Description of Netflix show 199
s200,,Netflix_Title_200,,Actor A,Canada,2000.0,TV-14,,Drama,Description of Netflix show 200
s201,,Netflix_Title_201,Alex Pina,Actor B,India,2015.0,PG,2 Seasons,Action,Description of Netflix show 201
s202,TV Show,Netflix_Title_202,Rajkumar Hirani,Actor B,,2020.0,TV-14,120 min,Action,Description of Netflix show 202
s203,TV Show,Netflix_Title_203,Unknown,Actor B,Canada,1990.0,G,120 min,Drama,Description of Netflix show 203
s204,TV Show,Netflix_Title_204,Alex Pina,Actor A,UK,inf,,90 min,Sci-Fi,Description of Netflix show 204
s205,Movie,Netflix_Title_205,Unknown,Actor C,,1995.0,,90 min,Action,Description of Netflix show 205
s206,TV Show,Netflix_Title_206,,Actor D,Canada,2015.0,R,100 min,Sci-Fi,Description of Netflix show 206
s207,TV Show,Netflix_Title_207,Unknown,,Spain,1995.0,PG,90 min,Drama,Description of Netflix show 207
,TV Show,Netflix_Title_208,Rajkumar Hirani,Actor C,India,2010.0,,100 min,,Description of Netflix show 208
s209,TV Show,Netflix_Title_209,Christopher Nolan,Actor C,Spain,1995.0,PG-13,90 min,Horror,Description of Netflix show 209
s210,TV Show,Netflix_Title_210,Christopher Nolan,Actor B,United States,2020.0,,120 min,Action,Description of Netflix show 210
s211,Movie,Netflix_Title_211,Alex Pina,Actor A,India,2020.0,,90 min,Drama,
s212,,Netflix_Title_212,Alex Pina,Actor A,India,2015.0,R,120 min,Drama,Description of Netflix show 212
s213,Movie,Netflix_Title_213,Unknown,Actor D,Canada,1990.0,TV-MA,3 Seasons,Drama,Description of Netflix show 213
s214,Movie,Netflix_Title_214,,Actor D,,1990.0,TV-MA,90 min,Action,
s215,Movie,Netflix_Title_215,Christopher Nolan,Actor A,,2000.0,G,,Romance,Description of Netflix show 215
s216,TV Show,Netflix_Title_216,,Actor B,India,inf,,90 min,Horror,Description of Netflix show 216
,Movie,Netflix_Title_217,,Actor C,UK,2000.0,PG-13,80 min,Sci-Fi,Description of Netflix show 217
s218,,Netflix_Title_218,,Actor A,Germany,2020.0,R,2 Seasons,Romance,Description of Netflix show 218
s219,TV Show,Netflix_Title_219,Christopher Nolan,Actor D,India,2005.0,TV-MA,90 min,Comedy,Description of Netflix show 219
s220,Movie,Netflix_Title_220,Christopher Nolan,Actor C,Canada,2000.0,TV-14,120 min,Comedy,Description of Netflix show 220
,Movie,Netflix_Title_221,Christopher Nolan,Actor C,India,2000.0,,120 min,Action,Description of Netflix show 221
s222,Movie,Netflix_Title_222,Rajkumar Hirani,Actor D,UK,2005.0,TV-14,,Action,Description of Netflix show 222
s223,Movie,Netflix_Title_223,Christopher Nolan,,United States,1990.0,TV-14,4 Seasons,Action,Description of Netflix show 223
s224,TV Show,Netflix_Title_224,Rajkumar Hirani,Actor C,United States,inf,PG,120 min,Sci-Fi,Description of Netflix show 224
s225,Movie,Netflix_Title_225,Rajkumar Hirani,Actor D,UK,2015.0,PG-13,4 Seasons,Drama,Description of Netflix show 225
s226,,Netflix_Title_226,,Actor B,Spain,2015.0,PG-13,3 Seasons,Action,Description of Netflix show 226
s227,TV Show,Netflix_Title_227,Alex Pina,Actor C,Spain,2010.0,TV-MA,90 min,Thriller,Description of Netflix show 227
s228,TV Show,Netflix_Title_228,Rajkumar Hirani,,Canada,1990.0,PG,2 Seasons,Comedy,Description of Netflix show 228
s229,TV Show,Netflix_Title_229,Alex Pina,Actor D,India,2010.0,,2 Seasons,Comedy,Description of Netflix show 229
s230,TV Show,Netflix_Title_230,Unknown,Actor B,Canada,2010.0,G,2 Seasons,Comedy,Description of Netflix show 230
s231,Movie,Netflix_Title_231,Christopher Nolan,Actor C,,2015.0,TV-MA,100 min,Drama,Description of Netflix show 231
s232,TV Show,Netflix_Title_232,Unknown,Actor B,,2010.0,PG,80 min,Action,Description of Netflix show 232
s233,TV Show,Netflix_Title_233,,Actor B,India,1990.0,PG-13,100 min,Horror,Description of Netflix show 233
s234,Movie,Netflix_Title_234,Unknown,Actor C,Spain,2015.0,PG-13,80 min,Drama,Description of Netflix show 234
,TV Show,Netflix_Title_235,,Actor A,UK,2015.0,TV-MA,90 min,Drama,Description of Netflix show 235
s236,TV Show,Netflix_Title_236,Rajkumar Hirani,Actor C,,2010.0,PG,4 Seasons,Action,Description of Netflix show 236
s237,Movie,Netflix_Title_237,Alex Pina,,UK,2023.0,G,120 min,Drama,Description of Netflix show 237
